17:19:38 [Safezone] Player "Joseph" (id=z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o= pos=<8063.255859, 458.862427, 9333.653320>) Entered the safezone
17:19:38 [Expansion Quests] - SetupClientData - Created new persistent player quest data for player UID: z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o=
17:20:22 [Market] Player "Joseph" (id=z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o=) has send a requested to sell bo_mag_svt40_10rnd x1 at the trader "Weapons (Naomi [Weapons])" in market zone "Altar_Trader" (pos=<8080.000000, 460.000000, 9300.000000>).
17:20:22 [Market] Player "Joseph" (id=z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o=) has sold bo_mag_svt40_10rnd x1 at the trader "Weapons (Naomi [Weapons])" in market zone "Altar_Trader" (pos=<8080.000000, 460.000000, 9300.000000>) and got 10.
17:20:22 [Market] Player "Joseph" (id=z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o=) has send a requested to sell bo_mag_svt40_10rnd x1 at the trader "Weapons (Naomi [Weapons])" in market zone "Altar_Trader" (pos=<8080.000000, 460.000000, 9300.000000>).
17:20:23 [Market] Player "Joseph" (id=z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o=) has sold bo_mag_svt40_10rnd x1 at the trader "Weapons (Naomi [Weapons])" in market zone "Altar_Trader" (pos=<8080.000000, 460.000000, 9300.000000>) and got 2.
17:20:23 [Market] Player "Joseph" (id=z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o=) has send a requested to sell bo_mag_svt40_10rnd x1 at the trader "Weapons (Naomi [Weapons])" in market zone "Altar_Trader" (pos=<8080.000000, 460.000000, 9300.000000>).
17:20:23 [Market] Player "Joseph" (id=z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o=) has sold bo_mag_svt40_10rnd x1 at the trader "Weapons (Naomi [Weapons])" in market zone "Altar_Trader" (pos=<8080.000000, 460.000000, 9300.000000>) and got 10.
17:20:24 [Market] Player "Joseph" (id=z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o=) has send a requested to sell bo_mag_svt40_10rnd x1 at the trader "Weapons (Naomi [Weapons])" in market zone "Altar_Trader" (pos=<8080.000000, 460.000000, 9300.000000>).
17:20:24 [Market] Player "Joseph" (id=z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o=) has sold bo_mag_svt40_10rnd x1 at the trader "Weapons (Naomi [Weapons])" in market zone "Altar_Trader" (pos=<8080.000000, 460.000000, 9300.000000>) and got 10.
17:27:19 [Safezone] Player "Joseph" (id=z1pbeF0UvCxkhZvxh4L4w6ToYMNcls3G_jKuCGZOD1o= pos=<8126.296875, 431.828003, 9953.593750>) Left the safezone
